102159,PROPERTY,Unit B,RW,false,To Let,182500,,2021-03-26T17:31:32,-0001-11-30T00:00:00,"Kingsbury Road (A34), Erdington, Birmingham | B24 9QB",52.5178299,-1.8024461,10000,"Unit B, Ravenside Retail Park","kingsbury road (a34), erdington, birmingham | b24 9qb,unit b, ravenside retail park,"
104269,PROPERTY,Birmingham - S17 Martineau Place,SC,false,To Let,,,2019-04-10T11:14:51,-0001-11-30T00:00:00,"S17 Martineau Place, Birmingham | B2 4UU",52.480371,-1.895556,4398,Birmingham - S17 Martineau Place,"s17 martineau place, birmingham | b2 4uu,birmingham - s17 martineau place,"
104627,PROPERTY,140 New Street,HS,false,Under Offer,320000,,2019-10-07T16:16:53,-0001-11-30T00:00:00,"140 New Street, Birmingham | B2 4NS",52.478709,-1.896812,,140 New Street,"140 new street, birmingham | b2 4ns,140 new street,"
105869,PROPERTY,141 New Street,HS,false,To Let,225000,,2020-01-22T12:44:45,-0001-11-30T00:00:00,"141 New Street, Birmingham | B2 4NS",52.478709,-1.896812,,141 New Street,"141 new street, birmingham | b2 4ns,141 new street,"
107046,PROPERTY,"620 Kingsbury Road, Erdington",HS,false,To Let,13400,,2021-03-30T13:01:33,-0001-11-30T00:00:00,"620 Kingsbury Road, Erdington | B24 9PJ",52.517343,-1.821275,1010,"620 Kingsbury Road, Erdington","620 kingsbury road, erdington | b24 9pj,620 kingsbury road, erdington,"
107113,PROPERTY,8 popular way,HS,false,To Let,45000,,2021-03-02T14:14:59,-0001-11-30T00:00:00,"8 Popular Way, Solihull | B91 3BX",52.414406,-1.777937,1923,8 popular way,"8 popular way, solihull | b91 3bx,8 popular way,"
107122,PROPERTY,39 Drury Lane,HS,false,To Let,,,2020-12-07T11:58:15,-0001-11-30T00:00:00,"Drury Lane, Solihull | B91 3BP",52.41406,-1.775469,,39 Drury Lane,"drury lane, solihull | b91 3bp,39 drury lane,"
107123,PROPERTY,50 Drury Lane,HS,false,To Let,,,2020-12-07T12:38:56,-0001-11-30T00:00:00,"Drury Lane, Solihull | B91 3BP",52.41406,-1.775469,,50 Drury Lane,"drury lane, solihull | b91 3bp,50 drury lane,"
107178,PROPERTY,98 High Street,HS,false,To Let,12500,,2021-03-23T11:57:01,-0001-11-30T00:00:00,"High Street, Wednesfield | WV11 1SZ",52.599856,-2.082217,1291,98 High Street,"high street, wednesfield | wv11 1sz,98 high street,"
107183,PROPERTY,44 King Street,HS,false,To Let,17000,,2021-03-23T11:57:44,-0001-11-30T00:00:00,"King Street, Wednesbury | WS10 8DE",52.567741,-2.034976,4084,44 King Street,"king street, wednesbury | ws10 8de,44 king street,"
107270,PROPERTY,"16 Drury Lane, Mell Square Shopping Centre",HS,false,To Let,,,2021-03-02T14:25:25,-0001-11-30T00:00:00,"Drury Lane, Solihull | B91 3BG",52.4127721,-1.7753105,757,"16 Drury Lane, Mell Square Shopping Centre","drury lane, solihull | b91 3bg,16 drury lane, mell square shopping centre,"
108522,PROPERTY,1 Mell Square,HS,false,To Let,,,2021-02-09T22:12:37,2021-02-09T21:56:34,"Solihull, Solihull | B91 3AZ",52.413306,-1.776399,,1 Mell Square,"solihull, solihull | b91 3az,1 mell square,"
109444,PROPERTY,The Mailbox,HS,false,To Let,,,2021-03-12T16:06:52,2021-03-12T15:46:38,"63 Wharfside Street, Birmingham | B1 1XL",52.476306235,-1.904376364,5000,The Mailbox,"63 wharfside street, birmingham | b1 1xl,the mailbox,"
109490,PROPERTY,227-229 High Street,HS,false,To Let,,,2021-03-12T16:06:52,2021-03-12T15:52:26,West Bromwich | B70 7NG,52.518671032,-1.991891749,3883,227-229 High Street,"west bromwich | b70 7ng,227-229 high street,"
